endTime,artistName,trackName,msPlayed
2021-12-28 14:09,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-28 14:19,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-28 14:20,Taylor Swift,evermore (feat. Bon Iver),28111
2021-12-28 14:24,Taylor Swift,evermore (feat. Bon Iver),271082
2021-12-28 14:28,Camila Cabello,Shameless,219742
2021-12-28 14:34,Lady Gaga,I'll Never Love Again - Extended Version,328893
2021-12-28 14:38,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),245426
2021-12-28 14:48,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-28 14:51,Maren Morris,The Bones - with Hozier,197298
2021-12-28 14:55,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-28 14:59,Lady Gaga,Shallow - Radio Edit,217212
2021-12-28 15:02,Shawn Mendes,Señorita,190799
2021-12-28 15:06,Adele,I'll Be Waiting,241351
2021-12-28 15:10,Taylor Swift,willow,214706
2021-12-28 15:14,Adele,Someone Like You,285240
2021-12-28 15:20,Lata Mangeshkar,Bhor Bhaye Panghat Pe,328866
2021-12-28 15:23,Camila Cabello,Don't Go Yet,164842
2021-12-28 15:27,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),240226
2021-12-28 15:30,Adele,Easy On Me,224694
2021-12-28 15:35,Céline Dion,I Surrender,287733
2021-12-28 15:39,Lorne Balfe,"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",248100
2021-12-28 15:44,Adele,Love In The Dark,285935
2021-12-28 15:49,Taylor Swift,august,261922
2021-12-28 15:53,Adele,All I Ask,271800
2021-12-28 15:58,Christina Perri,A Thousand Years,285120
2021-12-28 16:01,Camila Cabello,Living Proof,194440
2021-12-28 16:08,Lata Mangeshkar,Mere Naina Sawan Bhadon- Lata Mangeshkar,408195
2021-12-28 16:13,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-28 16:15,Lea Salonga,A Whole New World,160800
2021-12-28 16:42,Lata Mangeshkar,Aye-Dil-E-Nadan,339066
2021-12-28 16:46,Lady Gaga,Always Remember Us This Way,210200
2021-12-28 16:49,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",203660
2021-12-28 16:53,Bhupen Hazarika,"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",235493
2021-12-28 16:57,Taylor Swift,evermore (feat. Bon Iver),234012
2021-12-29 04:46,Taylor Swift,evermore (feat. Bon Iver),70337
2021-12-29 04:50,Camila Cabello,Shameless,219742
2021-12-29 04:55,Lady Gaga,I'll Never Love Again - Extended Version,328893
2021-12-29 04:59,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),245426
2021-12-29 05:09,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-29 05:13,Maren Morris,The Bones - with Hozier,197298
2021-12-29 05:17,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-29 05:20,Lady Gaga,Shallow - Radio Edit,217212
2021-12-29 05:23,Shawn Mendes,Señorita,190799
