Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,,5,4.29,Disney Hyperion Books,377.0,2006.0,2005.0,2018-08-01,2020-02-26,"books_worth_rereading, favorites, books_i_own, read",3
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,,,5,4.0,Public Domain Books,96.0,1997.0,1865.0,,2020-02-26,"classics_read, books_worth_rereading, favorites, books_i_own, read",1
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,,5,4.58,Scholastic Inc.,652.0,2006.0,2005.0,,2020-02-26,"books_i_own, read",1
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,,5,4.5,Scholastic Inc.,912.0,2004.0,2003.0,,2020-02-26,"books_i_own, read",1
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,,5,4.57,Scholastic,734.0,2002.0,2000.0,,2020-02-26,"books_i_own, read",1
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,,5,4.62,Arthur A. Levine Books,759.0,2007.0,2007.0,,2020-02-26,"books_worth_rereading, favorites, books_i_own, read",1
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,043965548X,9780439655484,5,4.58,Scholastic Inc.,435.0,2004.0,1999.0,,2020-02-26,"books_i_own, read",1
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,1420925539,9781420925531,5,4.14,Digireads.com,123.0,2005.0,1887.0,,2020-02-26,"classics_read, books_i_own, read",1
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,,5,4.47,Scholastic Inc,309.0,2003.0,1997.0,2018-05-01,2020-02-26,"books_i_own, read",1
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,,,5,4.41,Hyperion Books for Children,361.0,2008.0,2008.0,2020-10-14,2020-02-26,"books_i_own, read",2
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,,5,4.43,Arthur A. Levine Books,341.0,1999.0,1998.0,2018-05-01,2020-02-26,"books_i_own, read",1
1885,Pride and Prejudice,Jane Austen,,,5,4.28,Modern Library,279.0,2000.0,1813.0,2019-01-01,2020-02-26,"classics_read, books_i_own, read",1
26047438,"Fire Falling (Air Awakens, #2)",Elise Kova,1619849526,9781619849525,3,4.17,Silver Wing Press,378.0,2015.0,2015.0,2021-04-24,2021-04-21,read,1
29467232,"The Blood Mirror (Lightbringer, #4)",Brent Weeks,031625133X,9780316251334,4,4.33,Orbit,704.0,2016.0,2015.0,2021-05-09,2021-05-01,read,1
755125,"In Search of the Edge of Time: Black Holes, White Holes, Wormholes",John Gribbin,0140248145,9780140248142,0,3.92,Penguin Books,288.0,1999.0,1992.0,,2021-05-08,to-read,0
1920128,The Birth of Time: How Astronomers Measure the Age of the Universe,John Gribbin,0300083467,9780300083460,0,3.88,Yale University Press,237.0,2000.0,1999.0,,2021-05-08,to-read,0
28943755,Einstein's Masterwork: 1915 and the General Theory of Relativity,John Gribbin,1681772124,9781681772127,0,4.03,Pegasus Books,240.0,2016.0,2015.0,,2021-05-08,to-read,0
479476,In Search of the Big Bang,John Gribbin,0552131466,9780552131469,0,3.95,Corgi,432.0,1987.0,1986.0,,2021-05-08,to-read,0
26196560,13.8: The Quest to Find the True Age of the Universe and the Theory of Everything,John Gribbin,0300218273,9780300218275,0,4.09,Yale University Press,256.0,2016.0,2015.0,,2021-05-08,to-read,0
31311948,The Time Illusion (Kindle Single),John Gribbin,,,0,4.09,,35.0,2016.0,,,2021-05-08,to-read,0
40941,The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,0812967887,9780812967883,0,4.11,Random House Trade Paperbacks,672.0,2004.0,2002.0,,2021-05-08,to-read,0
587906,Deep Simplicity: Bringing Order to Chaos and Complexity,John Gribbin,140006256X,9781400062560,0,3.95,Random House,279.0,2005.0,2004.0,,2021-05-08,to-read,0
6881432,In Search of the Multiverse,John Gribbin,1846141133,9781846141133,0,4.09,Allen Lane,250.0,2009.0,2009.0,,2021-05-08,"science, read",1
29966062,"Crystal Crowned (Air Awakens, #5)",Elise Kova,,,0,4.15,Silver Wing Press,400.0,2016.0,2016.0,,2021-04-21,"to-read, unfinished_series",0
29483403,"Water's Wrath (Air Awakens, #4)",Elise Kova,1619844257,9781619844254,0,4.12,Silver Wing Press,378.0,2016.0,2016.0,,2021-04-21,"to-read, unfinished_series",0
26760091,"Earth's End (Air Awakens, #3)",Elise Kova,1619844222,9781619844223,0,4.14,Silver Wing Press,350.0,2016.0,2016.0,,2021-04-29,"to-read, try_it_later, unfinished_series",0
282459,Subtle Is the Lord: The Science and the Life of Albert Einstein,Abraham Pais,0192806726,9780192806727,5,4.33,OUP UK,576.0,2005.0,1982.0,,2021-01-01,"science, favorites, read",1
3754016,"Shadow's Edge (Night Angel, #2)",Brent Weeks,0316033650,9780316033657,0,4.25,Orbit,636.0,2008.0,2008.0,,2021-05-07,to-read,0
3754026,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,0316033669,9780316033664,0,4.27,Orbit,689.0,2008.0,2008.0,,2021-05-07,to-read,0
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,0316033677,9780316033671,0,4.15,Orbit,645.0,2008.0,2008.0,,2021-05-07,to-read,0
40516976,"Aurora's End (The Aurora Cycle, #3)",Amie Kaufman,1524720887,9781524720889,0,4.23,Knopf Books For Young Readers,512.0,2021.0,2021.0,,2021-04-30,"to-read, try_it_later, unfinished_series",0
40516960,"Aurora Burning (The Aurora Cycle, #2)",Amie Kaufman,1524720925,9781524720926,0,4.29,Knopf Books For Young Readers,495.0,2020.0,2020.0,,2021-04-30,"to-read, try_it_later, unfinished_series",0
30075662,"Aurora Rising (The Aurora Cycle, #1)",Amie Kaufman,1524720968,9781524720964,5,4.12,Knopf Books for Young Readers,473.0,2019.0,2019.0,2021-04-30,2021-04-29,read,1
84369,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,0007202326,9780007202324,0,4.01,HarperCollins Publishers,288.0,2005.0,1956.0,,2020-07-13,"to-read, unfinished_series",0
65605,"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,0060764902,9780060764906,4,4.05,HarperCollins Publishers,221.0,2005.0,1955.0,2020-11-04,2020-07-13,"unfinished_series, read",1
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,0439861365,9780439861366,0,3.91,Scholastic Inc,224.0,1995.0,1954.0,,2021-05-07,"to-read, unfinished_series",0
65641,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,,,0,3.96,HarperCollins,243.0,2008.0,1953.0,,2020-07-13,"to-read, unfinished_series",0
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,006112527X,9780061125270,0,4.09,HarperCollins,248.0,2006.0,1952.0,,2020-07-13,"to-read, unfinished_series",0
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,000720230X,9780007202300,0,3.98,HarperCollins Publishers,240.0,2005.0,1951.0,,2020-04-11,"to-read, unfinished_series",0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,,,0,4.23,HarperCollins Publishers,206.0,2005.0,1950.0,,2021-05-07,"to-read, unfinished_series",0
27188596,"War Storm (Red Queen, #4)",Victoria Aveyard,0062422995,9780062422996,0,3.85,HarperTeen,662.0,2018.0,2018.0,,2021-05-07,"to-read, unfinished_series",0
30226723,"King's Cage (Red Queen, #3)",Victoria Aveyard,0062310712,9780062310712,0,3.94,HarperTeen,528.0,2017.0,2017.0,,2021-05-07,"to-read, unfinished_series",0
